Dates, OIL_PROD, WATER_PROD, WATER_INJ_TOP, Xflow, P_wf
258.0, 828.8934936523438, -0.0, 379.13763427734375, 0.00020674789266195148, 211.60826110839844
259.0, 828.474609375, -0.0, 239.4553680419922, 0.00011348754196660593, 209.6059112548828
260.0, 827.9912109375, -0.0, 69.84114837646484, 3.187173933838494e-05, 207.4828338623047
261.0, 827.42529296875, -0.0, 99.7730712890625, 4.385590000310913e-05, 207.42431640625
262.0, 826.7778930664062, -0.0, 89.79576873779297, 3.937162910006009e-05, 207.07313537597656
263.0, 826.0546264648438, -0.0, 1000.0, 726.074951171875, 220.7720184326172
264.0, 825.2879028320312, -0.0, 1000.0, 726.074951171875, 221.9834442138672
265.0, 824.5105590820312, -0.0, 359.1830139160156, 0.0002136518742190674, 211.33306884765625
266.0, 823.7486572265625, -0.0, 1000.0, 726.0746459960938, 221.6517333984375
267.0, 823.0393676757812, -0.0, 1000.0, 307.0278625488281, 219.9684600830078
268.0, 822.3929443359375, -0.0, 628.5703125, 0.0003530975372996181, 214.25765991210938
269.0, 821.7896728515625, -0.0, 169.6142120361328, 8.411496673943475e-05, 209.01402282714844
270.0, 821.1971435546875, -0.0, 698.4114990234375, 0.00031449689413420856, 213.8845977783203
271.0, 820.584228515625, -0.0, 319.2738342285156, 0.00015632965369150043, 210.1166534423828
272.0, 819.9429931640625, -0.0, 1000.0, 346.9371032714844, 218.98361206054688
273.0, 819.26611328125, -0.0, 419.046875, 0.00022891412663739175, 211.50973510742188
274.0, 818.5578002929688, -0.0, 1000.0, 97.50430297851562, 217.6068878173828
275.0, 817.8436889648438, -0.0, 1000.0, 726.074951171875, 221.8842315673828
276.0, 817.1885375976562, -0.0, 1000.0, 726.074951171875, 222.5991973876953
277.0, 816.630615234375, -0.0, 708.3887329101562, 0.000426362530561164, 215.47970581054688
278.0, 816.1370849609375, -0.0, 439.0014953613281, 0.00022232005721889436, 212.10350036621094
279.0, 815.6624145507812, -0.0, 648.5249633789062, 0.00030734878964722157, 213.82484436035156
280.0, 815.1790771484375, -0.0, 1000.0, 57.59505844116211, 217.7908935546875
281.0, 814.6895751953125, -0.0, 1000.0, 726.074951171875, 222.2223358154297
282.0, 814.2117919921875, -0.0, 708.3887329101562, 0.00042073315125890076, 215.41281127929688
283.0, 813.7664794921875, -0.0, 1000.0, 506.5740051269531, 221.05813598632812
284.0, 813.3548583984375, -0.0, 159.63690185546875, 9.166145900962874e-05, 209.77577209472656
285.0, 812.9526977539062, -0.0, 169.61422729492188, 7.70864135120064e-05, 208.94715881347656
286.0, 812.5393676757812, -0.0, 1000.0, 726.074951171875, 221.620849609375
287.0, 812.1331176757812, -0.0, 1000.0, 726.074951171875, 222.74749755859375
288.0, 811.8527221679688, -0.0, 1000.0, 726.074951171875, 223.24777221679688
289.0, 812.3969116210938, -0.0, 1000.0, 726.074951171875, 223.6103057861328
290.0, 813.9312133789062, -0.0, 1000.0, 696.1430053710938, 223.744873046875
291.0, 816.1179809570312, -0.0, 1000.0, 496.5967712402344, 222.78643798828125
292.0, 817.702392578125, -0.0, 69.84114074707031, 4.1962939576478675e-05, 210.21253967285156
293.0, 818.6652221679688, -0.0, 1000.0, 726.0747680664062, 223.1212921142578
294.0, 819.715087890625, -0.0, 1000.0, 726.074951171875, 224.13302612304688
295.0, 821.2975463867188, -0.0, 1000.0, 726.074951171875, 224.57774353027344
296.0, 822.754150390625, -0.0, 369.1603088378906, 0.0002336087782168761, 213.92840576171875
297.0, 823.1049194335938, -0.0, 149.65960693359375, 7.361251482507214e-05, 210.69847106933594
298.0, 822.6574096679688, -0.0, 1000.0, 366.8916931152344, 221.10736083984375
299.0, 822.3958740234375, -0.0, 1000.0, 726.074951171875, 224.06179809570312
300.0, 822.9579467773438, -0.0, 1000.0, 726.074951171875, 224.6701202392578
301.0, 824.2412109375, -0.0, 1000.0, 157.36817932128906, 221.52850341796875
302.0, 825.2456665039062, -0.0, 269.38726806640625, 0.0001555330672999844, 212.8336639404297
303.0, 825.7168579101562, -0.0, 1000.0, 167.34548950195312, 220.51710510253906
304.0, 826.2482299804688, -0.0, 1000.0, 726.074951171875, 224.3883819580078
305.0, 827.4122314453125, -0.0, 1000.0, 726.074951171875, 225.03831481933594
306.0, 828.7919311523438, -0.0, 658.5021362304688, 0.0004209920298308134, 217.42852783203125
307.0, 830.3302001953125, -0.0, 1000.0, 726.0748291015625, 224.7113037109375
308.0, 832.2700805664062, -0.0, 1000.0, 726.074951171875, 225.4286346435547
309.0, 834.7841796875, -0.0, 1000.0, 726.074951171875, 225.7942352294922
310.0, 837.8338623046875, -0.0, 1000.0, 726.074951171875, 226.08560180664062
311.0, 841.320068359375, -0.0, 1000.0, 726.074951171875, 226.35292053222656
312.0, 845.1254272460938, -0.0, 1000.0, 726.074951171875, 226.60992431640625
313.0, 849.1416625976562, -0.0, 1000.0, 726.074951171875, 226.86080932617188
314.0, 853.298828125, -0.0, 1000.0, 726.074951171875, 227.10714721679688
315.0, 857.5502319335938, -0.0, 1000.0, 726.074951171875, 227.3488311767578
316.0, 861.493896484375, -0.0, 987.753173828125, 0.0006773294298909605, 223.0229034423828
317.0, 864.9070434570312, -0.0, 1000.0, 257.14129638671875, 224.25521850585938
318.0, 868.0504760742188, -0.0, 1000.0, 726.074951171875, 227.23907470703125
319.0, 871.2783203125, -0.0, 1000.0, 726.074951171875, 227.72174072265625
320.0, 874.6867065429688, -0.0, 1000.0, 566.43798828125, 227.0340576171875
321.0, 878.14599609375, -0.0, 1000.0, 376.8690490722656, 225.9671630859375
322.0, 881.6480102539062, -0.0, 1000.0, 726.074951171875, 228.08682250976562
323.0, 885.2982788085938, -0.0, 1000.0, 726.074951171875, 228.4644012451172
324.0, 888.7360229492188, -0.0, 907.9347534179688, 0.0006445595645345747, 223.35716247558594
325.0, 891.283935546875, -0.0, 518.8198852539062, 0.00031425984343513846, 218.84617614746094
326.0, 892.2435913085938, -0.0, 69.84114837646484, 3.808411202044226e-05, 213.6761474609375
327.0, 891.6318969726562, -0.0, 458.95611572265625, 0.0002247136435471475, 216.89707946777344
328.0, 890.4993286132812, -0.0, 1000.0, 516.5513916015625, 225.4453582763672
329.0, 889.8671264648438, -0.0, 1000.0, 506.5740966796875, 226.16038513183594
330.0, 890.2587280273438, -0.0, 1000.0, 726.074951171875, 227.80560302734375
