Dates, OIL_PROD, WATER_PROD, WATER_INJ_TOP, Xflow, P_wf
1.0, 1500.0, 2.2893213475101704e-13, 688.4341430664062, 0.0003902193857356906, 191.4228515625
1.5, 1500.0, 1.0049020635265363e-20, 1000.0, 726.074951171875, 190.244384765625
2.0, 1500.003173828125, 2.513393832201373e-23, 1000.0, 726.074951171875, 189.42050170898438
3.0, 1500.0048828125, 6.28744389803864e-26, 1000.0, 726.074951171875, 188.36000061035156
4.0, 1500.0030517578125, 1.5726166516419391e-28, 1000.0, 496.5967712402344, 187.60145568847656
5.0, 1500.002197265625, 3.9330385882467782e-31, 259.409912109375, 0.00018313918553758413, 187.02084350585938
6.0, 1500.0, 8.632976646568972e-39, 29.931915283203125, 2.0081042748643085e-05, 186.5535125732422
7.0, 1500.0013427734375, 2.1588404141388132e-41, 179.59149169921875, 0.00011742868809960783, 186.16143798828125
8.0, 1500.0, 0.0, 1000.0, 77.5496826171875, 185.8223419189453
9.0, 1500.0, 0.0, 1000.0, 726.074951171875, 185.5230712890625
10.0, 1500.0008544921875, 0.0, 1000.0, 726.074951171875, 185.2562713623047
11.0, 1500.0006103515625, 0.0, 1000.0, 726.074951171875, 185.01742553710938
12.0, 1500.0006103515625, 0.0, 1000.0, 726.074951171875, 184.8031005859375
13.0, 1500.0, 0.0, 1000.0, 726.074951171875, 184.6104736328125
14.0, 1500.0009765625, 0.0, 1000.0, 726.074951171875, 184.43695068359375
15.0, 1500.0008544921875, 0.0, 1000.0, 596.369873046875, 184.28005981445312
16.0, 1500.0, 0.0, 1000.0, 346.9371032714844, 184.13731384277344
17.0, 1500.0, 0.0, 1000.0, 57.59504699707031, 184.00640869140625
18.0, 1500.0, 0.0, 1000.0, 726.074951171875, 183.8856964111328
19.0, 1500.000244140625, 0.0, 1000.0, 726.074951171875, 183.77284240722656
20.0, 1500.0, 0.0, 1000.0, 726.074951171875, 183.66464233398438
21.0, 1500.0006103515625, 0.0, 1000.0, 726.074951171875, 183.5634307861328
22.0, 1500.0006103515625, 0.0, 1000.0, 726.074951171875, 183.46859741210938
23.0, 1500.00048828125, 0.0, 1000.0, 726.074951171875, 183.37933349609375
24.0, 1500.00048828125, 0.0, 1000.0, 726.074951171875, 183.29493713378906
25.0, 1500.0, 0.0, 578.6832275390625, 0.0008905596332624555, 183.21463012695312
26.0, 1500.0, 0.0, 1000.0, 356.9144287109375, 183.13760375976562
27.0, 1500.0, 0.0, 1000.0, 287.0732421875, 183.0629119873047
28.0, 1500.000244140625, 0.0, 1000.0, 726.074951171875, 182.989990234375
29.0, 1500.00048828125, 0.0, 1000.0, 726.074951171875, 182.91859436035156
30.0, 1500.0, 0.0, 1000.0, 726.074951171875, 182.84873962402344
31.0, 1500.0003662109375, 0.0, 1000.0, 726.074951171875, 182.78050231933594
32.0, 1500.0003662109375, 0.0, 1000.0, 726.074951171875, 182.714111328125
33.0, 1500.0, 0.0, 1000.0, 726.074951171875, 182.64923095703125
34.0, 1500.0, 0.0, 79.81831359863281, 0.00018096894200425595, 182.5857391357422
35.0, 1500.0, 0.0, 1000.0, 486.6194763183594, 182.52288818359375
36.0, 1500.0, 0.0, 1000.0, 726.074951171875, 182.46011352539062
37.0, 1500.0, 0.0, 1000.0, 726.074951171875, 182.3971710205078
38.0, 1500.0, 0.0, 1000.0, 167.34548950195312, 182.33409118652344
39.0, 1500.0, 0.0, 1000.0, 726.074951171875, 182.27098083496094
40.0, 1500.0, 0.0, 1000.0, 726.074951171875, 182.20797729492188
41.0, 1500.0, 0.0, 1000.0, 726.074951171875, 182.14524841308594
42.0, 1500.000244140625, 0.0, 1000.0, 726.074951171875, 182.0829315185547
43.0, 1500.0, 0.0, 1000.0, 426.7555847167969, 182.0211639404297
44.0, 1500.0, 0.0, 897.9551391601562, 0.0029464743565768003, 181.95993041992188
45.0, 1500.000244140625, 0.0, 409.0684509277344, 0.0013224921422079206, 181.8991241455078
46.0, 1500.0, 0.0, 1000.0, 336.95977783203125, 181.83827209472656
47.0, 1500.0, 0.0, 1000.0, 406.80096435546875, 181.77719116210938
48.0, 1500.0, 0.0, 568.7047729492188, 0.0019850158132612705, 181.7156524658203
49.0, 1500.0, 0.0, 369.15936279296875, 0.001179596409201622, 181.6533660888672
50.0, 1500.0, 0.0, 349.20477294921875, 0.0011450836900621653, 181.5902557373047
51.0, 1500.0, 0.0, 768.25048828125, 0.0025385969784110785, 181.5261688232422
52.0, 1500.0, 0.0, 269.3864440917969, 0.0009659701026976109, 181.46099853515625
53.0, 1500.0, 0.0, 1000.0, 726.074951171875, 181.39471435546875
54.0, 1500.000244140625, 0.0, 89.79545593261719, 0.00034832992241717875, 181.32733154296875
55.0, 1500.0, -0.0, 309.29571533203125, 0.000961685786023736, 181.2588653564453
56.0, 1500.0, -0.0, 1000.0, 726.074951171875, 181.18931579589844
57.0, 1500.0, -0.0, 1000.0, 726.074951171875, 181.11888122558594
58.0, 1500.0, -0.0, 947.8409423828125, 0.0037023115437477827, 181.04788208007812
59.0, 1500.0, -0.0, 149.6591033935547, 0.0005787177942693233, 180.9765167236328
60.0, 1500.0, -0.0, 1000.0, 596.369873046875, 180.905029296875
61.0, 1500.0, -0.0, 1000.0, 726.074951171875, 180.83351135253906
62.0, 1500.0, -0.0, 838.0908203125, 0.0033504522871226072, 180.76211547851562
63.0, 1500.0, -0.0, 149.6591033935547, 0.0005762324435636401, 180.69085693359375
64.0, 1500.0, -0.0, 99.77278900146484, 0.00032644611201249063, 180.6196746826172
65.0, 1500.0, -0.0, 578.6820678710938, 0.0020096558146178722, 180.54843139648438
66.0, 1500.0, -0.0, 259.40911865234375, 0.0009823167929425836, 180.47691345214844
67.0, 1500.0, -0.0, 478.9092102050781, 0.001745889661833644, 180.40496826171875
68.0, 1500.0, -0.0, 458.9546203613281, 0.0017285741632804275, 180.33255004882812
69.0, 1500.0, -0.0, 1000.0, 237.18667602539062, 180.25970458984375
70.0, 1500.0, -0.0, 9.977270126342773, 4.1543287807144225e-05, 180.18643188476562
71.0, 1500.0, -0.0, 209.52285766601562, 0.0006848813500255346, 180.11305236816406
72.0, 1500.0, -0.0, 768.2503051757812, 0.002707122126594186, 180.0393829345703
73.0, 1495.0667724609375, -0.0, 229.47727966308594, 0.0008915847865864635, 180.0
74.0, 1485.4373779296875, -0.0, 0.0, -0.0, 180.0
75.0, 1477.2781982421875, -0.0, 0.0, -0.0, 180.0
76.0, 1469.7698974609375, -0.0, 1000.0, 227.20936584472656, 180.0
77.0, 1462.637939453125, -0.0, 1000.0, 726.074951171875, 180.0
78.0, 1455.7828369140625, -0.0, 1000.0, 726.074951171875, 180.0
79.0, 1449.171630859375, -0.0, 1000.0, 726.074951171875, 180.0
80.0, 1442.794921875, -0.0, 957.818115234375, 0.003815318923443556, 180.0
81.0, 1436.6478271484375, -0.0, 1000.0, 137.41355895996094, 180.0
82.0, 1430.7113037109375, -0.0, 89.79544830322266, 0.00035589345498010516, 180.0
83.0, 1424.9171142578125, -0.0, 289.3410949707031, 0.000937101140152663, 180.0
84.0, 1419.2119140625, -0.0, 419.0456237792969, 0.0014804446836933494, 180.0
85.0, 1413.62353515625, -0.0, 139.68185424804688, 0.0005078402464278042, 180.0
86.0, 1408.1087646484375, -0.0, 109.75004577636719, 0.00038261496229097247, 180.0
87.0, 1402.6376953125, -0.0, 967.7958984375, 0.0033247992396354675, 180.0
88.0, 1397.2054443359375, -0.0, 1000.0, 117.45893096923828, 180.0
89.0, 1391.826171875, -0.0, 1000.0, 237.18667602539062, 180.0
90.0, 1386.51513671875, -0.0, 349.2045593261719, 0.0013598509831354022, 180.0
91.0, 1381.278564453125, -0.0, 259.40924072265625, 0.0008695012074895203, 180.0
92.0, 1376.108642578125, -0.0, 688.43212890625, 0.0023790616542100906, 180.0
93.0, 1370.9984130859375, -0.0, 1000.0, 726.074951171875, 180.0
94.0, 1365.948486328125, -0.0, 1000.0, 726.074951171875, 180.0
95.0, 1360.96142578125, -0.0, 389.1136779785156, 0.0014698222512379289, 180.0
96.0, 1356.0423583984375, -0.0, 788.2050170898438, 0.0025984463281929493, 180.0
97.0, 1351.1865234375, -0.0, 409.0682678222656, 0.0015104981139302254, 180.0
98.0, 1346.3858642578125, -0.0, 159.636474609375, 0.0005221659666858613, 180.0
99.0, 1341.624755859375, -0.0, 189.56829833984375, 0.0006294879131019115, 180.0
100.0, 1336.88720703125, -0.0, 488.88665771484375, 0.001621974864974618, 180.0
101.0, 1332.1607666015625, -0.0, 339.2274475097656, 0.0011690505780279636, 180.0
102.0, 1327.443603515625, -0.0, 927.8869018554688, 0.0031300100963562727, 180.0
103.0, 1322.7457275390625, -0.0, 907.9320678710938, 0.0033304174430668354, 180.0
